id_estudio,servicio,ciudad,cliente,sector,personas,jornada,antiguedad_cliente,hallazgo_msk
E-0378,Tobii,Funza,Mattelsa,alimentos,2,nocturna,24,0
E-0379,Dinamómetro,Soacha,Ura Industries,minería,5,nocturna,0,0
E-0380,GoPro,Zipaquirá,Alpina,minería,1,rotativa,3,0
E-0381,Xsens,Entrerrios,Mattelsa,minería,10,diurna,0,1
E-0382,GoPro,Cali,Cetelsa,logística,20,nocturna,6,1
E-0383,Dinamómetro,Bogotá,Colanta,alimentos,20,diurna,36,0
E-0384,Tobii,Entrerrios,Imbanaco,agroindustria,8,diurna,24,0
E-0385,EMG,Antioquia,Mattelsa,manufactura,5,rotativa,48,0
E-0386,EMG,Urabá,Colanta,minería,10,nocturna,3,1
E-0387,GoPro,Urabá,El Retiro,servicios,2,diurna,0,1
E-0388,Dinamómetro,Medellín,Alpina,agroindustria,10,rotativa,6,1
E-0389,EMG,Cali,Imbanaco,salud,5,nocturna,0,1
E-0390,Tobii,Medellín,Tennis,minería,20,rotativa,12,1
E-0391,GoPro,Soacha,Imbanaco,manufactura,8,rotativa,48,1
E-0392,Tobii,Cali,Crystal,logística,20,diurna,3,1
E-0393,Tobii,Cali,Colanta,agroindustria,5,diurna,6,1
E-0394,Xsens,Medellín,Tennis,salud,10,nocturna,6,1
E-0395,EMG,Antioquia,Colanta,agroindustria,15,rotativa,24,1
E-0396,Xsens,Urabá,Cetelsa,servicios,10,diurna,6,0
E-0397,EMG,Entrerrios,Solla,salud,10,nocturna,48,0
E-0398,EMG,Urabá,Tennis,servicios,4,rotativa,12,1
E-0399,EMG,Zipaquirá,Imbanaco,alimentos,15,rotativa,24,1
